,Area_Name,Year,Victims_of_Rape_Total
0,0,2001,3
3,0,2002,2
6,0,2003,2
9,0,2004,10
12,0,2005,4
15,0,2006,6
18,0,2007,3
21,0,2008,12
24,0,2009,18
27,0,2010,24
30,1,2001,871
33,1,2002,1002
36,1,2003,946
39,1,2004,1016
42,1,2005,935
45,1,2006,1049
48,1,2007,1070
51,1,2008,1257
54,1,2009,1188
57,1,2010,1362
60,2,2001,33
63,2,2002,38
66,2,2003,31
69,2,2004,42
72,2,2005,35
75,2,2006,37
78,2,2007,48
81,2,2008,42
84,2,2009,59
87,2,2010,47
90,3,2001,817
93,3,2002,970
96,3,2003,1095
99,3,2004,1171
102,3,2005,1238
105,3,2006,1244
108,3,2007,1437
111,3,2008,1438
114,3,2009,1631
117,3,2010,1721
120,4,2001,888
123,4,2002,1040
126,4,2003,985
129,4,2004,1390
132,4,2005,1147
135,4,2006,1232
138,4,2007,1555
141,4,2008,1302
144,4,2009,929
147,4,2010,795
150,5,2001,19
153,5,2002,18
156,5,2003,18
159,5,2004,19
162,5,2005,33
165,5,2006,19
168,5,2007,22
171,5,2008,20
174,5,2009,29
177,5,2010,31
180,6,2001,959
183,6,2002,992
186,6,2003,898
189,6,2004,969
192,6,2005,990
195,6,2006,995
198,6,2007,982
201,6,2008,978
204,6,2009,976
207,6,2010,1012
210,7,2001,6
213,7,2002,4
216,7,2003,1
219,7,2004,7
222,7,2005,5
225,7,2006,6
228,7,2007,7
231,7,2008,6
234,7,2009,4
237,7,2010,3
240,8,2001,0
243,8,2002,0
246,8,2003,5
249,8,2004,1
252,8,2005,2
255,8,2006,3
258,8,2007,1
261,8,2008,0
264,8,2009,1
267,8,2010,1
270,9,2001,383
273,9,2002,407
276,9,2003,490
279,9,2004,551
282,9,2005,666
285,9,2006,626
288,9,2007,602
291,9,2008,470
294,9,2009,469
297,9,2010,507
300,10,2001,12
303,10,2002,12
306,10,2003,32
309,10,2004,37
312,10,2005,20
315,10,2006,21
318,10,2007,20
321,10,2008,30
324,10,2009,50
327,10,2010,36
330,11,2001,286
333,11,2002,268
336,11,2003,236
339,11,2004,339
342,11,2005,324
345,11,2006,354
348,11,2007,317
351,11,2008,374
354,11,2009,433
357,11,2010,408
360,12,2001,398
363,12,2002,361
366,12,2003,353
369,12,2004,386
372,12,2005,461
375,12,2006,608
378,12,2007,488
381,12,2008,631
384,12,2009,603
387,12,2010,720
390,13,2001,124
393,13,2002,137
396,13,2003,126
399,13,2004,153
402,13,2005,141
405,13,2006,113
408,13,2007,159
411,13,2008,157
414,13,2009,183
417,13,2010,160
420,14,2001,169
423,14,2002,192
426,14,2003,211
429,14,2004,218
432,14,2005,201
435,14,2006,250
438,14,2007,288
441,14,2008,219
444,14,2009,235
447,14,2010,245
450,15,2001,567
453,15,2002,797
456,15,2003,712
459,15,2004,797
462,15,2005,753
465,15,2006,799
468,15,2007,855
471,15,2008,791
474,15,2009,719
477,15,2010,773
480,16,2001,293
483,16,2002,292
486,16,2003,321
489,16,2004,291
492,16,2005,343
495,16,2006,400
498,16,2007,436
501,16,2008,446
504,16,2009,509
507,16,2010,586
510,17,2001,562
513,17,2002,499
516,17,2003,394
519,17,2004,480
522,17,2005,481
525,17,2006,605
528,17,2007,513
531,17,2008,570
534,17,2009,568
537,17,2010,636
540,18,2001,0
543,18,2002,1
546,18,2003,2
549,18,2004,0
552,18,2005,0
555,18,2006,0
558,18,2007,1
561,18,2008,2
564,18,2009,1
567,18,2010,0
570,19,2001,2851
573,19,2002,2891
576,19,2003,2738
579,19,2004,2875
582,19,2005,2921
585,19,2006,2900
588,19,2007,3010
591,19,2008,2937
594,19,2009,2998
597,19,2010,3136
600,20,2001,1302
603,20,2002,1352
606,20,2003,1276
609,20,2004,1392
612,20,2005,1549
615,20,2006,1506
618,20,2007,1457
621,20,2008,1567
624,20,2009,1493
